asin,productDescription,category,price,retailPrice,productRating,countReview,salesVolume_clean,price_tier,has_reviews,review_density,prime
B0DYK1ZH2D,"CATAN Board Game (6th Edition) Trade, Build & Settle in the Classic Strategy Game for Family, Kids & Adults, Ages 10+, 3-4 Players, 60-90 Min Playtime",board game,41.99,43.99,4.8,39443,6000.0,premium,1,8200.2079002079,False
B00D8STBHY,"Hasbro Gaming Connect 4 Classic Grid, 4 in a Row Game, Strategy Board Games for Kids, 2 Players for Family and Kids, Easter Gifts for Boys and Girls, Ages 6+",board game,8.89,9.99,4.8,81275,10000.0,budget,1,16897.0893970894,False
B076HK9H7Z,Sorry! Board Game for Kids Ages 6 and Up; Classic Hasbro Board Game; Each Player Gets 4 Pawns; Family Game,board game,8.98,9.99,4.8,33742,10000.0,budget,1,7014.968814968815,False
B084D2XQ9F,"HUES and CUES - Vibrant Color Guessing Board Game for 3-10 Players Ages 8+, Connect Clues and Guess from 480 Color Squares",board game,24.95,0.0,4.7,9848,8000.0,mid,1,2090.870488322718,False
B00000DMF5,"Hasbro Gaming Candy Land Kingdom of Sweet Adventures Board Game for Kids, Easter Gifts for Boys and Girls, Ages 3 & Up (Amazon Exclusive)",board game,12.99,0.0,4.8,37195,10000.0,budget,1,7732.848232848233,False
B0D87PKYYK,Official Hasbro Games Jenga Game | Digital Die for 6 More Ways to Play | Original Wood Block Game | Stacking Tower | Ages 6+ | 1+ Players | Party Games,board game,14.97,0.0,4.8,1889,10000.0,budget,1,392.72349272349277,False
B07P6MZPK3,"Mattel Games UNO Card Game for Kid, Adult & Family Nights & Parties, Travel & Vacations, Color Blind Accessible & Customizable Deck (Amazon Exclusive)",board game,11.87,0.0,4.8,60178,10000.0,budget,1,12511.018711018713,False
B09QRXD9H1,"USAOPOLY The Original TAPPLE, The Fast-Paced Family Board Game,Choose a Category & Race Against The Timer to be The Last Player,Learning Word Game for Ages 8 & Up, 2-8 Players, 15-20 Minute Play Time",board game,19.98,21.99,4.7,10940,7000.0,mid,1,2322.7176220806796,False
B09D44JH4S,"Hasbro Gaming Scrabble Board Game, Classic Word Games for Kids Ages 8 and Up, Fun Family Game for 2-4 Players, The Classic Crossword Game",board game,15.1,24.99,4.8,5180,6000.0,budget,1,1076.923076923077,False
B09D4QRJ8Y,Hasbro Gaming Battleship Classic Board Game | Strategy Games for Kids and Adults | Ages 7+ | 2 Players | Fun Kids Games | Family Games,board game,16.84,19.99,4.7,7624,5000.0,budget,1,1618.683651804671,False
B0DWGVM7RY,"USAOPOLY Flip 7, The Ultimate Blend of Press Your Luck & Strategy, Fast-Paced Addictive Card Game,Quick to Learn & Easy to Teach,Perfect for Game Nights, 3+ Players, Ages 8 & Up, 20 Minutes Play Time",board game,7.97,0.0,4.9,3376,30000.0,budget,1,687.5763747454175,False
B0FJMQB63N,"CGE Codenames Board Game (2nd Edition) The Top Secret Word Association Party Game for Friends & Family Game Nights, 4+ Players",board game,24.98,0.0,4.8,32153,5000.0,mid,1,6684.615384615385,False
B00000IVAK,"SEQUENCE- Original SEQUENCE Game with Folding Board, Cards and Chips by Jax ( Packaging may Vary ) White, 10.3"" x 8.1"" x 2.31""",board game,15.99,23.99,4.8,45264,5000.0,budget,1,9410.395010395012,False
B00TLEMRKM,"Hasbro Gaming Yahtzee Game, Fast-Playing Dice Games for Kids, Teens, and Adults, Strategy Games, Family Games for Kids, 2 or More Players, Ages 8 and Up",board game,8.84,9.99,4.8,40043,10000.0,budget,1,8324.948024948026,False
B0B5HLZ8T4,"Monopoly Game, Family Board Games for 2 to 6 Players & Kids Ages 8 and Up, Includes 8 Tokens (Token Vote Edition)",board game,19.95,0.0,4.8,5534,5000.0,mid,1,1150.5197505197507,False
B077Z1R28P,"Taco Cat Goat Cheese Pizza Wildly Entertaining Card Game for Family and Group Game Night | Easy to Learn and Play with 10-15 Minute Rounds | Fun for Kids, Teens, Adults, and Families | 2-8 Players",board game,8.1,9.99,4.8,53337,10000.0,budget,1,11088.77338877339,False
B07T446163,CMYK Wavelength: The Mind Reading Party Game,board game,34.0,39.99,4.8,4773,7000.0,premium,1,992.3076923076924,False
B008J87PVC,"Hasbro Twister Party Classic Board Game for 2 or More Players,Indoor and Outdoor Game for Kids 6 and Up,Packaging May Vary",board game,14.34,19.99,4.7,14163,7000.0,budget,1,3007.0063694267515,False
B0DN37BBGD,Monopoly Board Game | Classic Game with Storage Tray and Larger Tokens | Ages 8+ | 2 to 6 Players | Family Games for Kids and Adults | Kids Gifts,board game,14.99,19.99,4.8,1244,3000.0,budget,1,258.62785862785864,False
B06XY48MK1,"Hasbro Gaming The Game of Life Board Game, Family Games for Kids Ages 8+, Includes 31 Careers, Family Board Games for 2-4 Players, (Amazon Exclusive)",board game,21.99,0.0,4.7,9476,2000.0,mid,1,2011.8895966029725,False
B0F8PKN4B7,"Asmodee Ticket to Ride Board Game (2025 Refresh) - A Cross-Country Train Adventure for Friends and Family, Strategy Game for Kids & Adults, Ages 8+, 2-5 Players, 30-60 Minute Playtime",board game,43.99,54.99,4.9,27423,3000.0,premium,1,5585.132382892057,False
B0BRYH5FJ8,"Spin Master Games, Hedbanz 2023 Edition with New Cards, Picture Guessing Board Game, for Family & Kids, 2-6 Players, for Ages 6 & Up",board game,15.99,17.99,4.7,15500,5000.0,budget,1,3290.870488322718,False
B00S732WJE,"Guess Who? Board Game with Classic Characters by Winning Moves Games USA, Classic Children's Mystery Board Game of Deduction for 2 Players, Ages 6+ (1191)",board game,19.99,24.99,4.7,9924,5000.0,mid,1,2107.0063694267515,False
B06Y1N3PTX,Hasbro Gaming Battleship with Planes Strategy Board Game for Ages 7 and Up (Amazon Exclusive),board game,19.07,19.99,4.7,21628,4000.0,mid,1,4591.932059447983,False
B01ALHAIWG,"Risk Board Game, Strategy Games for 2-5 Players, Strategy Board Games for Teens, Adults, and Family, War Games, Ages 10 and Up",board game,24.95,34.99,4.7,9729,2000.0,mid,1,2065.605095541401,False
B01JKD4HYC,Secret Hitler,board game,45.0,0.0,4.9,15015,3000.0,premium,1,3058.0448065173114,False
B09S3ZJJRM,"The Chameleon: Award-Winning Bluffing Board Game for Family, Adults & Friends | Includes 80 Extra Secret Words | Who is The Imposter?",board game,24.99,0.0,4.8,8499,4000.0,mid,1,1766.943866943867,False
B07G2VHPRW,"USAOPOLY BLANK SLATE, Where Great Minds Think Alike, Fun Family-Friendly Board Game, Word Association Party Game, Easy to Learn, Fun to Play Family Game Night, 3-8 Players, Ages 8+",board game,24.97,0.0,4.8,13100,5000.0,mid,1,2723.4927234927236,False
B00IZEUFIA,"Asmodee Splendor Board Game - Master The Art of Wealth and Prestige! - Engaging Gem Mining Strategy Game for Kids & Adults, Ages 10+, 2-4 Players, 30 Min Playtime",board game,29.3,39.99,4.9,14917,2000.0,premium,1,3038.0855397148675,False
B07TC5X8P5,GoSports 4 ft x 2 ft Regulation Size Wooden Cornhole Boards Set with Light Brown Finish - Includes Carrying Case (Choose Your Colors),board game,129.99,0.0,4.6,4645,1000.0,premium,1,1007.5921908893711,False
B01MS6B7BV,"Hasbro® Don’t Break The Ice Game, Classic Version for Ages 3+ Years, 2-4 Players",board game,17.35,19.99,4.8,18044,5000.0,budget,1,3751.3513513513517,False
B01819WCK2,Kangaroo - Multiplayers Strategy Checker Board Game for Kids & Adults - Portable Educational Travel Cardboard Checkers - Includes Large Board w/ 24 Checkers (12 Red and 12- Black) 15x15 Inches,board game,9.95,0.0,4.4,2866,3000.0,budget,1,649.8866213151928,False
B093H8RGXX,AEG & Flatout Games | Cascadia - Award-Winning Board Game Set in the Pacific Northwest | Easy to Learn | Quick to Play | Ages 10+,board game,31.99,39.99,4.9,2208,1000.0,premium,1,449.6945010183299,False
B07JQ5W878,"Regal Games Card Games for Kids - Go Fish, Crazy 8's, Old Maid, Slap Jack, Garbage Monster, War - Simple & Fun Classic Family Table Games - Games May Vary (6 Set)",board game,9.99,0.0,4.8,15800,10000.0,budget,1,3284.823284823285,False
B00000DMF6,"Hasbro Gaming Chutes and Ladders Board Game, 2 to 4 Players, Easter Gift for Kids, Preschool Classroom Games, Ages 3+ (Amazon Exclusive)",board game,14.99,0.0,4.8,11814,4000.0,budget,1,2456.1330561330565,False
B0B2JZHQ2P,"Tic Tac Toe Board Game,Tic Tac Toe Family Game, Classic Board Game, Classical Family Board Game,Children's Tic Tac Toe Game, Plastic tic tac Toe Game, Board Size 15 X 15 cm",board game,5.99,0.0,4.3,1574,3000.0,budget,1,365.1972157772622,False
B00004YO0Y,"Let's Go Fishin' Game by Pressman - The Original Fast-Action Fishing Game!, 1-4 players",board game,9.99,14.99,4.5,19505,8000.0,budget,1,4324.8337028824835,False
B013TO5PDU,"Hasbro Gaming Retro Series Clue 1986 Edition Board Game, Classic Mystery Game for Kids, Family Board Games for 3-6 Players, Ages 8+ (Amazon Exclusive)",board game,23.4,24.99,4.8,8648,1000.0,mid,1,1797.9209979209982,False
B07YQ641NQ,"Stonemaier Games: Wingspan (Base Game) by Elizabeth Hargrave | A Relaxing, Award-Winning Strategy Board Game About Collecting Birds for Adults and Family | 1-5 Players, 70 Mins",board game,55.0,65.0,4.8,17043,1000.0,premium,1,3543.2432432432433,False
B093HBBMPT,Herd Mentality: Udderly Funny Family Board Game | Easy & Fun for Big Groups of 4-20 Players | Includes 20 Extra Exclusive Questions,board game,24.99,0.0,4.7,4739,4000.0,mid,1,1006.1571125265393,False
B0DBJDYQNR,Operation Electronic Board Game with All-in-One Carrying Case | 2 Ways to Play | Ages 6+ | 1+ Players | 10 Mins. | Fun Kids Games,board game,13.99,19.99,4.7,775,2000.0,budget,1,164.54352441613588,False
B00000DMFM,"Hasbro Gaming Operation Electronic Board Game, Family Games for Kids Ages 6+, Kids Board Games for 1+ Players, Funny Games for Kids, Easter Gifts for Boys and Girls (Amazon Exclusive)",board game,19.99,0.0,4.7,15367,2000.0,mid,1,3262.632696390658,False
B08MVWB4SC,"Hasbro Gaming Guess Who? Board Game, with People and Pets Cards, The Original Guessing Game for Kids, Ages 6 and Up, Easter Gifts for Boys and Girls (Amazon Exclusive)",board game,17.0,0.0,4.6,6784,4000.0,budget,1,1471.5835140997833,False
B08CZXWKPX,"Hasbro Gaming Trouble Board Game, Includes Bonus Power Die and Shield, Family Game for 2-4 Players, Ages 5 and Up (Amazon Exclusive)",board game,14.99,0.0,4.7,5200,1000.0,budget,1,1104.0339702760084,False
B077MZ2MPW,"Azul Board Game - Award-Winning Tile-Placement Strategy Game, Beautiful Mosaic Art, Family Fun for Kids & Adults, Ages 8+, 2-4 Players, 30-45 Minute Playtime",board game,34.39,0.0,4.8,16499,2000.0,premium,1,3430.1455301455303,False
B0CWVMNNFV,"Lucky Egg Official Grab The Mic – Family Karaoke Board Game w/Foam Mic, 8+ Ages, 2-10 Players - Games for Bad Singers w/ 240 Lyrics (120 Cards) (First Edition)",board game,19.99,0.0,4.7,3979,7000.0,mid,1,844.7983014861995,False
B0D2JG7873,"Horrible Therapist: Extra Horrible Edition by Exploding Kittens - A Card Game for 3-8 Players, Ages 17+ - Adult Party Game for Family Night",board game,24.97,0.0,4.5,2533,2000.0,mid,1,561.6407982261641,False
B08BHHRSPK,"The Game of Life Board Game, Family Games for Kids Ages 8 and Up, Pegs Come in 6 Colors, Family Board Games for 2 to 4 Players",board game,19.53,24.99,4.7,6738,2000.0,mid,1,1430.5732484076434,False
B0D2JG7873,"Horrible Therapist: Extra Horrible Edition by Exploding Kittens - A Card Game for 3-8 Players, Ages 17+ - Adult Party Game for Family Night",board game,24.97,0.0,4.5,2533,2000.0,mid,1,561.6407982261641,False
B08BHHRSPK,"The Game of Life Board Game, Family Games for Kids Ages 8 and Up, Pegs Come in 6 Colors, Family Board Games for 2 to 4 Players",board game,19.53,24.99,4.7,6738,2000.0,mid,1,1430.5732484076434,False
B08CZXWKPX,"Hasbro Gaming Trouble Board Game, Includes Bonus Power Die and Shield, Family Game for 2-4 Players, Ages 5 and Up (Amazon Exclusive)",board game,14.99,0.0,4.7,5200,1000.0,budget,1,1104.0339702760084,False
B0C3DNT9W3,"Hasbro Gaming Hungry Hungry Hippos Game for Preschoolers | Instant Marble Relaunch, Easy Set-Up & Storage| Ages 4 and Up | 2 to 4 Players | Kids Games",board game,,0.0,4.8,1936,10000.0,,1,402.4948024948025,False
B0FDDBKHWP,"Hot Streak Party Game – Fast, Loud, and Wild Mascot Racing & Betting",board game,44.95,49.99,4.6,158,1000.0,premium,1,34.273318872017356,False
B09F9XMRG5,"Ransom Notes - The Ridiculous Word Magnet Party Game, 3+ Players",board game,34.99,0.0,4.6,8664,3000.0,premium,1,1879.3926247288505,False
B001FA22DC,"Pressman Mancala Board Game | Fun Classic Table for Adults & Kids | Includes 48 Glass Mancala Stones and Wood Hinged Playing Board | 2 Players, Ages 6+",board game,15.46,0.0,4.7,15780,1000.0,budget,1,3350.3184713375795,False
B08ZSK752P,The Night Cage by Smirk and Dagger | Cooperative Candlelit Horror Strategy Game | Tile Laying Labyrinth Escape Adventure | for 1 to 5 Players | Ages 14+,board game,38.52,44.99,4.7,879,200.0,premium,1,186.62420382165604,False
B000GBA60W,Hasbro Gaming Jenga Wooden Blocks Stacking Tumbling Tower Game | Party Games for Kids & Families | Stocking Stuffers | Ages 6+ (Amazon Exclusive),board game,19.99,0.0,4.8,23692,3000.0,mid,1,4925.571725571726,False
B00D7OAOYI,Hasbro Gaming Trouble Board Game for Kids Ages 5 and Up 2-4 Players,board game,9.84,0.0,4.7,39590,6000.0,budget,1,8405.52016985138,False
B0B5FLTTT5,"Clue Board Game for Ages 8 and Up, Reimagined Clue Game for 2-6 Players, Mystery, Detective, Family Games for Kids and Adults",board game,13.75,24.99,4.8,2110,1000.0,budget,1,438.6694386694387,False
B0CVNPHPZY,"Asmodee Harmonies Board Game - Create Oneiric Landscapes, Strategic & Poetic Gameplay, Fun Family Game for Kids & Adults, Ages 10+, 1-4 Players, 30 Min Playtime, (Multilingual Edition)",board game,31.99,34.99,4.9,681,1000.0,premium,1,138.69653767820773,False
B083S1R2Z1,Plunder - Family Board Games - Board Games for Adults and Kids - Strategy Board Games - Fun Family Game Night - Ages 10 and Up - 2 to 6 Players,board game,49.99,0.0,4.8,2895,400.0,premium,1,601.8711018711019,False
B0DJPHNP8S,"Rio Grande Games Moon Colony Bloodbath Strategy Card Game, 1-5 Players, Engine Building Board Game Ages 14+",board game,42.48,0.0,4.7,121,300.0,premium,1,25.690021231422506,False
B0CS7VH7HM,Hasbro Gaming Monopoly Harry Potter Edition Board Game | A Magical Adventure at Hogwarts | Ages 8 and Up | 2 to 6 Players | Family Games | Gifts for Kids and Adults,board game,22.49,0.0,4.8,2924,1000.0,mid,1,607.900207900208,False
B0DF4K8KS3,Bomb Busters Board Game,board game,34.77,42.95,4.7,203,1000.0,premium,1,43.09978768577495,False
B00NX627HW,"Asmodee Carcassonne Board Game - Classic Tile-Laying Strategy Game, Family Fun Medieval Adventure for Kids & Adults, Ages 7+, 2-5 Players, 35 Minute Playtime",board game,31.99,41.99,4.8,11334,1000.0,premium,1,2356.3409563409564,False
B00TXI1NEW,"Mattel Games UNO Splash Card Game with Waterproof Cards and Portable Clip for Travel, Camping and Game Nights Away",board game,6.49,11.87,4.8,17221,20000.0,budget,1,3580.2494802494807,False
B0CHD8RCSJ,Scorpion Masqué Sky Team | Voted Game of The Year 2024 | Best 2 Player Game | Work Together to Land The Plane | Ages 14+ | 20 Minutes,board game,32.29,0.0,4.8,887,1000.0,premium,1,184.40748440748442,False
B0DS2R4VFJ,Deep Regrets: an Unfortunate Fishing Game,board game,59.95,0.0,4.6,33,50.0,premium,1,7.158351409978309,False
B0F16HLC5P,"Spooktacular Board Game – Play as 20 Spooky Cinema Monsters, Horror Strategy Game for 1-5 Players",board game,59.99,0.0,4.7,18,50.0,premium,1,3.821656050955414,False
B010TQY7A8,"Exploding Kittens Original Edition - 2-5 Players - Ages 7+ - 15 Minutes to Play - High Stakes Card Game - Party Game, Family Game Night, Kid and Adult Card Game",board game,19.82,0.0,4.7,116641,3000.0,mid,1,24764.543524416134,False
B0DH9KN56R,"Farkle Classic Dice Game – Rainbow Kids Games, Dice Games, Family Games, Travel Games, Adult Games, Board Games, Dice Cup, Dice Set, Farkle Score Sheets Included, Ages 8+",board game,4.99,0.0,4.7,175,2000.0,budget,1,37.15498938428875,False
B07NRHKD64,"Asmodee Star Wars Outer Rim Board Game - Strategy Game, Fun Family Adventure for Teens & Adults, Ages 14+, 1-4 Players, 3-4 Hour Playtime",board game,55.87,84.99,4.8,1645,100.0,premium,1,341.995841995842,False
B0793MT3Y6,AEG Space Base | Space Exploration Engine Building Interactive Family Dice Game | Blend of Strategy & Luck | Easy to Learn | 2-5 Players | Ages 10+,board game,35.99,44.99,4.8,1492,200.0,premium,1,310.1871101871102,False
B01MXWTYLF,"Ravensburger Othello - Classic Strategy Board Game for 2 Players - Easy to Learn, Hard to Master - Fast-Paced Family Fun - Ages 8+",board game,22.99,28.99,4.8,4824,1000.0,mid,1,1002.910602910603,False
1988884047,Roxley Games Brass: Birmingham – Critically Acclaimed Economic Strategy Game for 2–4 Players,board game,74.75,79.99,4.7,1598,300.0,premium,1,339.27813163481954,False
B087CBJ465,"Do You Really Know Your Family? A Fun Family Game Filled with Conversation Starters and Challenges - Great for Kids, Teens and Adults",board game,15.85,0.0,4.6,16451,3000.0,budget,1,3568.5466377440353,False
B0D5DMJ6XG,"IELLO: King of Tokyo: Duel - Two-Player Board Game, Fun & Tactical Giant Monster Clash Dice Game, Classic Strategy, Family Ages 8+, 2 Players, 20 Min",board game,17.99,29.99,4.8,4649,100.0,mid,1,966.5280665280666,False
B00A2HD40E,"Asmodee Pandemic Board Game (Base Game) - A Cooperative Battle to Save Humanity, Strategy Game for Kids and Adults, Ages 8+, 2-4 Players, 45 Minute Playtime",board game,48.08,0.0,4.8,18823,400.0,premium,1,3913.3056133056134,False
B017IWP33Q,Lookout Games Grand Austria Hotel Board Game | Action Drafting Strategy Game for Adults and Kids | Ages 12+ | 2-4 Players | Average Playtime 60-120 Minutes | Made by Lookout Games,board game,53.75,71.99,4.8,280,50.0,premium,1,58.21205821205822,False
B0F9HS5FK5,"Exploding Kittens: The Board Game - The Action Packed Party Game to Celebrate 10th Birthday - 2-6 Players Aged 7+ - Great for Adults, Teens, Collectors, Kids",board game,24.99,0.0,4.7,526,1000.0,mid,1,111.67728237791933,False
B0DRWF8FGQ,"Unstable Games Twisted Cryptids Board Game - Strategy Card Game for Adults and Kids - Family Board Games for 2-4 Players, Ages 12 and Up - from the Creators of Unstable Unicorns and Here to Slay",board game,19.98,0.0,4.7,384,400.0,mid,1,81.52866242038216,False
B0D3FBC2R2,Ravensburger Horrified Games - World of Monsters - Strategy Board Game - Boost Critical Thinking & Teamwork - Cooperative Gameplay - Unique Monster Challenges - 1 to 5 Players - Adults & Kids 10+,board game,17.63,34.99,4.7,274,300.0,budget,1,58.174097664543524,False
B0BGXPZG4B,"Asmodee HEAT: Pedal to the Metal Board Game - Intense Car Racing and Strategy Game, Fun Family Game for Kids and Adults, Ages 10+, 1-4 Players, 60 Minute Playtime",board game,67.49,74.99,4.8,924,500.0,premium,1,192.09979209979213,False
B0778TY7XP,"I should have known that! - A Trivia Game About Things You Oughta Know, Green",board game,19.82,0.0,4.5,34434,2000.0,mid,1,7635.033259423503,False
B00000DMFD,Mouse Trap Board Game For Kids Ages 6 and Up (Amazon Exclusive),board game,24.99,0.0,4.6,9324,1000.0,mid,1,2022.5596529284167,False
B0DZ8JRMTV,"Spin Master Games, Tetris: The Board Game, Play the Classic Puzzle Game Tetris in Real Life, Multiplayer Head-to-Head Puzzle Challenge, 2-4 Players, for Ages 8 & Up",board game,21.99,0.0,4.8,416,600.0,mid,1,86.4864864864865,False
B09KWKKK63,"Hasbro Gaming Guess Who? Original,Easy to Load Frame,Double-Sided Character Sheet,2 Player Board Games for Kids,Guessing Games for Families,Ages 6 and Up",board game,16.84,0.0,4.5,2975,900.0,budget,1,659.6452328159645,False
B0F692PJDW,"Telestrations 8 Player 2nd Edition Board Game, Award Winning Hilarious and Unpredictable Must Have Party Game with a New Look, Sketch What Your Read Then Guess What You Saw, 4-8 Players, Ages 10+",board game,31.99,0.0,4.8,309,2000.0,premium,1,64.24116424116424,False
B003D7F4YY,"Gamewright - Forbidden Island - Cooperative Strategy Survival Board Game, 2-4 Players",board game,20.99,23.99,4.8,8913,1000.0,mid,1,1853.0145530145533,False
B0DCM3M1T7,"Asmodee Heat: Tunnel Vision Board Game Expansion - New Tracks, Championship Season & Front Wing Module, Racing Strategy Game for Kids & Adults, Ages 10+, 1-7 Players, 60 Min Playtime",board game,30.98,37.99,4.8,158,600.0,premium,1,32.848232848232854,False
B08QN8T28T,"Hasbro Gaming Sorry! Family Board Games for Kids and Adults, 2 to 4 Players, Ages 6 and Up (Amazon Exclusive)",board game,21.99,0.0,4.8,3566,800.0,mid,1,741.3721413721414,False
B08QV68L6X,"Spin Master Games, Jumanji 30th Anniversary Edition, The Classic Thrilling Adventure Family Board Game Based on the Action-Comedy Movie, Updated Jungle Challenges, 2-4 Players, for Ages 6 & Up",board game,18.99,21.99,4.5,1478,400.0,mid,1,327.71618625277165,False
B06XVW4N17,"Asmodee Dice Forge Board Game - Customize Your Fate, Conquer the Gods, Dice Crafting Strategy Game, Fun Family Game for Kids & Adults, Ages 10+, 2-4 Players, 45 Minute Playtime",board game,48.99,59.99,4.8,1527,50.0,premium,1,317.4636174636175,False
B0CHDNC8ZJ,Ravensburger Horrified Games - Greek Monsters - Strategy Board Game - Boost Critical Thinking & Teamwork - Cooperative Gameplay - Unique Monster Challenges - 1 to 5 Players - Adults & Kids 10+,board game,19.85,34.99,4.7,500,100.0,mid,1,106.15711252653928,False
B0BQ5PFMF3,"You Laugh You're Out [A Party Game with Hilarious Charades Family Card Games for Adults & Teens, 125 Prompt Cards Fun for Family Game Nights, Gatherings, & Parties Ages 14+]",board game,19.97,0.0,4.4,3192,3000.0,mid,1,723.8095238095237,False
B0DK3ZZFVM,"Mistborn Deckbuilding Game by Brotherwise Games | Fantasy Card Strategy with Allomantic Powers | Build Your Deck, Burn Metals, and Battle Through Cinematic Missions | 1 to 4 Players | Ages 13+",board game,44.95,49.99,4.7,219,400.0,premium,1,46.496815286624205,False
B000SDKDM4,"Lavazza Super Crema Whole Bean Coffee, Medium Espresso Roast, Arabica and Robusta Blend, 2.2 lb Bag, Package May Vary (Pack of 1)",coffee beans,28.34,0.0,4.5,39401,80000.0,mid,1,8736.363636363636,False
B071WWCVJV,"Amazon Fresh, Colombia Whole Bean Coffee Medium Roast, 32 Oz",coffee beans,18.37,0.0,4.3,11459,20000.0,budget,1,2658.7006960556846,False
B00P0ZMWEC,"Lavazza Espresso Whole Bean Coffee, Medium Roast, 100% Arabica, 2.2 lb Bag (Pack of 1)",coffee beans,22.99,0.0,4.6,18300,50000.0,mid,1,3969.6312364425166,False
B005OJ4X32,"Lavazza Espresso Barista Gran Crema Whole Bean Coffee Blend, Medium Espresso Roast, Oz Bag (Packaging May Vary) - 2.2 LB, 35.2 Ounce",coffee beans,25.0,0.0,4.6,13263,30000.0,mid,1,2877.006507592191,False
B0002E2GQU,"Lavazza Crema E Aroma Whole Bean Coffee Blend, 2.2-Pound Bag , Balanced medium roast with an intense, earthy flavor and long lasting crema, Non-GMO",coffee beans,22.53,0.0,4.5,16741,10000.0,mid,1,3711.9733924611974,False
B0959BPLP4,"Starbucks Whole Coffee Beans, Medium Roast Hot or Iced Coffee, Pike Place Roast, 28 oz",coffee beans,20.21,0.0,4.6,3598,10000.0,mid,1,780.477223427332,False
B003YVRX5W,"Tim Hortons Whole Bean Original, Medium Roast Coffee, Made with 100% Arabica Beans, 32 Ounce Bag",coffee beans,15.95,0.0,4.5,3335,6000.0,budget,1,739.4678492239468,False
B0936JKKJ2,"Starbucks Whole Bean Coffee, Medium Roast Coffee, Pike Place Roast, 100% Arabica, 1 bag (18 oz)",coffee beans,12.99,0.0,4.6,3598,3000.0,budget,1,780.477223427332,False
B072MQFGHG,"Amazon Fresh Organic Fair Trade Sumatra Whole Bean Coffee, Dark Roast, 12 Ounce",coffee beans,6.98,0.0,4.2,1863,5000.0,budget,1,442.51781472684087,False
B0DV1HTF6K,"Lavazza Super Crema Whole Bean Coffee, Medium Espresso Roast, Arabica and Robusta Blend, 22 oz Bag",coffee beans,16.68,0.0,4.4,1051,10000.0,budget,1,238.3219954648526,False
B0721BFM6C,"Amazon Fresh, Just Bright Whole Bean Coffee Light Roast, 32 Oz",coffee beans,16.23,0.0,4.3,3564,10000.0,budget,1,826.9141531322507,False
B0959PRQG8,"Starbucks Whole Bean Coffee, Dark Roast Coffee, French Roast, 100% Arabica, 1 bag (28 oz)",coffee beans,23.19,0.0,4.6,4932,9000.0,mid,1,1069.8481561822127,False
B006Y7WAHE,"Cameron's Coffee Roasted Whole Bean Coffee, Breakfast Blend, 32 Ounce",coffee beans,17.98,0.0,4.4,2185,7000.0,budget,1,495.46485260770976,False
B087K8DC6X,"Peet's Coffee, Dark Roast Whole Bean Coffee, 100% Arabica Coffee - Major Dickason's Blend 18 Ounce Bag",coffee beans,16.86,0.0,4.6,8100,10000.0,budget,1,1757.0498915401304,False
